PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
"Reggie Jackson","DET",28,79,39,40,28.1,15.4,5.4,12.8,42.4,2.1,5.8,36.7,2.5,2.9,86.0,0.5,2.1,2.6,4.2,1.8,0.7,0.1,2.6,25.3,0,0,0.3

"Dennis Schroder","OKC",25,76,44,32,29.1,15.3,5.7,13.9,41.1,1.5,4.5,33.0,2.3,2.9,81.1,0.5,3.1,3.6,4.2,2.2,0.8,0.2,2.4,26.5,3,0,2.0

"Kelly Oubre Jr.","PHX",23,69,21,48,28.0,15.2,5.4,12.2,44.5,1.6,4.9,32.0,2.7,3.5,77.5,1.0,3.7,4.7,1.2,1.5,1.2,0.9,2.6,27.4,3,0,-4.0

"Nikola Mirotic","MIL",28,46,24,22,27.1,15.2,5.2,11.8,43.9,2.5,6.9,36.5,2.3,2.7,84.7,1.3,6.1,7.4,1.2,1.0,0.7,0.7,2.3,29.0,11,0,2.6

"Jeremy Lamb","CHA",26,76,36,40,28.5,15.1,5.4,12.4,43.4,1.4,4.1,34.0,2.9,3.2,88.9,0.8,4.6,5.5,2.1,1.0,1.1,0.4,1.8,28.3,7,0,0.3

"Serge Ibaka","TOR",29,73,52,21,27.3,15.1,6.3,11.8,53.1,0.7,2.3,29.2,1.8,2.4,76.3,2.1,6.1,8.2,1.4,1.5,0.4,1.4,2.9,30.7,22,0,3.8

"Evan Fournier","ORL",26,79,40,39,31.5,15.0,5.7,13.1,43.7,1.9,5.6,34.2,1.6,2.1,80.2,0.5,2.7,3.2,3.7,1.9,0.9,0.2,2.8,25.5,1,0,1.2

"Emmanuel Mudiay","NYK",23,59,13,46,27.2,14.8,5.6,12.5,44.6,1.2,3.6,32.9,2.4,3.2,77.4,0.6,2.8,3.3,3.9,2.4,0.7,0.3,1.7,25.4,1,0,-6.1

"Marvin Bagley III","SAC",20,60,30,30,25.1,14.7,5.7,11.2,50.5,0.5,1.5,30.7,3.0,4.3,69.1,2.6,4.9,7.5,1.0,1.6,0.5,1.0,2.0,28.1,18,0,-1.8

"Terrence Ross","ORL",28,79,40,39,26.5,14.7,5.3,12.6,42.4,2.6,6.9,37.8,1.4,1.6,86.2,0.3,3.1,3.4,1.6,1.1,0.9,0.4,1.5,23.9,0,0,-0.1

